Timestamp,Accelerometer [X],Accelerometer [Y],Accelerometer [Z],Linear Accel. [X],Linear Accel. [Y],Linear Accel. [Z],Gyroscope [X],Gyroscope [Y],Gyroscope [Z],Euler [X],Euler [Y],Euler [Z],Mag [X],Mag [Y],Mag [Z]
65182,9.59,1.58,1,-0.03,0.28,-0.28,0.03,-0.01,0,1.56,79.25,-45.31,-15.56,23.75,13.06
65723,9.41,1.02,1.78,-0.23,-0.15,0.5,0.03,0.04,0.01,358.94,79,-42.94,-16.75,24.25,12.5
66265,9.62,1.41,1.12,0,0.07,-0.21,0.03,0,0.02,359.75,78.81,-45,-16.06,23,11.88
66803,9.59,1.16,1.62,-0.02,-0.08,0.16,-0.08,-0.03,-0.02,358.88,78.62,-40.63,-15.38,24.5,12.75
67340,9.57,1.4,1.33,-0.04,0.07,0,0.07,0.01,0.01,359.5,78.87,-44.94,-14.69,23.37,13.19
67881,9.62,1.28,1.17,0,-0.01,-0.14,0,-0.01,0.01,359.56,79.06,-44.44,-16.37,23.06,13.19
68427,9.59,1.43,1.71,-0.09,0.17,0.43,-0.01,0,-0.01,359.38,78.87,-43.88,-15.69,23.06,11.38
68966,9.6,1.12,1.29,-0.03,-0.17,0,-0.11,0,0.02,0.94,79.19,-45.13,-16.06,22.06,13
69507,9.61,1.15,1.68,-0.01,-0.1,0.3,0.09,0,-0.01,358.81,79,-42.38,-16.06,22.75,12.56
70048,9.6,1.49,1.07,0.06,0.06,-0.27,-0.04,-0.02,0.02,359.5,79,-45.19,-15.69,22.06,12.5
70586,9.58,1.12,1.62,-0.04,-0.1,0.23,0.04,0.01,-0.02,358.06,79,-41.25,-16.06,22.37,12.5
71131,9.61,1.44,1.22,-0.02,0.09,-0.18,0.08,-0.04,0.02,359.13,78.5,-43.19,-15.38,22,12.5
71671,9.47,1.2,1.57,-0.14,-0.11,0.2,-0.08,0.03,-0.02,359,78.81,-43.94,-16,23.37,11.38
72209,9.6,1.32,1.08,0,-0.05,-0.36,-0.15,-0.05,0.01,359.63,78.25,-43.69,-14.88,22.19,12.69
72751,9.48,1.24,1.57,-0.13,-0.05,0.17,0.02,0,-0.01,358.81,78.69,-42.88,-16.06,22.56,11.88
73293,9.53,1.59,1.37,-0.06,0.18,-0.04,-0.03,-0.02,0.02,359.56,78.19,-44.69,-16.06,22.19,12.88
73831,9.5,1.51,1.49,-0.11,0.2,0.08,-0.01,0,-0.03,358.75,78.69,-43,-15.56,21.5,12.19
74375,9.53,1.11,1.53,-0.07,-0.19,0.1,0,-0.02,0.02,358.69,78.56,-42.56,-16,23.25,11.5
