Euler [X]	Euler [Y]	Euler [Z]
92.06	80.94	-37.19
92.25	81.12	-37.13
92.25	80.75	-36.81
92.62	81.12	-37.81
93.12	80.87	-39.19
93.12	80.94	-38.81
93	80.75	-38.13
93.56	81.19	-38.94
93.19	80.81	-37.25
93.69	81.12	-38.75
93.31	80.94	-36.69
93.75	80.94	-38.19
93.87	80.81	-38
93.81	80.87	-37.44
94.19	80.56	-38.44
93.81	80.75	-35.75
94.06	80.5	-36.75
94.69	80.69	-38.81
94.19	80.62	-34.69
96.12	80.75	-43.5
95	80.94	-38.94
95.06	80.87	-39.44
95.5	80.94	-39.31
94.75	80.94	-36.75
95.75	80.69	-39.31
95.56	80.87	-38.63
95.94	80.5	-39.06
96.25	81.19	-40.38
96.37	80.56	-39.81
96.25	81.06	-40.06
96.37	80.56	-39.19
96.56	80.94	-40.13
96.44	80.75	-38.75
96.37	80.87	-38.94
96.56	80.62	-37.94
96.31	80.69	-36.88
96.81	80.75	-38.06
96.37	80.62	-36
96.81	80.62	-36.88
96.81	80.62	-37.13
96.94	80.69	-36.69
97.12	80.5	-37.25
97.19	80.56	-37.13
97.19	80.44	-36.88
97.44	80.56	-37
97.31	80.44	-36.31
97.5	80.5	-36.63
97.37	80.5	-34.56
97.69	80.5	-35.5
97.75	80.56	-35.69
97.87	80.44	-35.69
97.94	80.56	-35.81
98.25	80.69	-36.56
98.31	80.56	-36.38
98.44	80.75	-36.69
98.44	80.75	-36.75
98.5	80.75	-36.88
98.5	80.75	-36.06
98.56	80.62	-35.5
98.75	80.69	-35.94
98.75	80.5	-35.31
99.06	80.75	-36.31
98.94	80.44	-35
99.12	80.62	-35.94
99.12	80.37	-35.25
99.12	80.5	-34.63
99.19	80.5	-34.69
99.25	80.5	-34.81
99.25	80.56	-34.69
99.19	80.62	-34.25
99.12	80.62	-33.94
99.06	80.44	-33.06
99.12	80.37	-32.88
99.12	80.37	-33
99.12	80.31	-32.88
99.19	80.25	-32.69
99.37	80.12	-33.38
99.25	80.12	-32.75
99.25	80	-32.56
99.31	80	-32.94
99.56	79.94	-33.56
99.69	79.87	-33.81
100.25	79.81	-35.31
100.25	79.81	-35.31
100.69	79.87	-36.44
100.19	79.94	-35
100.81	80.06	-37.5
100.31	79.87	-35.06
100.69	80.31	-36.63
100.5	80.06	-35.88
100.5	80.56	-35.56
100.75	79.87	-36.25
101.12	80.31	-36.75
100.69	80.06	-34.75
101.5	80.25	-38
101	80.31	-35.44
101.31	80.19	-36.5
101.5	80.19	-36.81
101.37	80.12	-36.38
101.69	80.06	-37.38
101.56	80.06	-36.56
101.75	80	-37.31
101.75	80.19	-36.38
101.75	80	-36.75
102.19	80.25	-38.06
101.75	80.06	-36.13
101.87	80.06	-36.44
101.94	80.06	-36.06
102.06	80.12	-36.19
102.37	80	-36.75
102.19	80.12	-36.5
102.19	80.06	-36.25
102.19	80.06	-36.19
102.25	80.06	-36
102.19	80.06	-35.94
102.25	80.06	-35.94
102.44	80	-36.69
102.31	80	-35.75
102.69	79.94	-36.94
102.44	80.06	-35.5
102.69	79.81	-36.19
102.75	80	-35.56
103.06	79.94	-36.94
103.12	79.94	-36.81
102.81	80	-35.56
103	79.94	-36.38
102.94	80	-35.69
103.06	79.94	-36.19
103	79.94	-35.63
103	79.94	-35.56
103.06	79.94	-35.44
103.06	79.81	-35.56
103.19	80	-36.13
103.12	79.87	-34.69
103	79.94	-34.63
103	79.87	-33.94
103	79.81	-33.81
103.06	79.87	-33.94
103.06	79.81	-34
103.06	79.81	-34
103.06	79.81	-33.94
103.12	79.87	-34.06
103.12	79.94	-34.19
103.19	79.94	-34.25
103.19	79.94	-34.31
103.62	80.37	-35.75
103.56	80.44	-35.5
103.5	80.44	-35.25
103.56	80.62	-35.06
103.19	80.37	-33.94
103.44	80.5	-34.44
103.19	80.44	-32.56
103.44	80.44	-34.19
103.37	80.25	-33.25
103.31	80.37	-32.75
103.37	80.12	-32.94
103.37	80.5	-32.94
103.37	80.19	-32.44
103.69	80.62	-34.44
103.5	80.12	-32.44
103.5	80.5	-33.38
103.62	80.25	-33
103.56	80.31	-32.81
103.87	80.31	-33.75
103.69	80.37	-33.13
103.81	80.19	-33.06
103.62	80	-32.38
104.12	80.56	-34
103.87	80.25	-33.81
104.31	80.62	-36
103.62	80.06	-31.56
104.5	80.75	-36.63
104.87	80.62	-36
104.37	80.44	-35.31
104.62	80.69	-35.63
105.75	80.75	-38.31
105.12	81	-38.44
105.81	80.69	-38.44
104.62	80.94	-36.25
104.75	80.37	-34.88
