Euler [X]	Euler [Y]	Euler [Z]
29.87	62.06	68.37
34.06	61.25	70.94
26.5	56.38	64.87
25	50.31	70.62
22.44	57.44	67
21.69	55.63	68.19
11	61.56	77.25
20.87	60.63	72.94
17.31	62.38	76.5
24.87	60.5	71.75
27.56	64.69	67
37.38	64.12	62.75
32.88	57.31	61.5
31.19	66	58.94
40.31	60.19	49
30.75	61.63	59.31
56.81	57.69	47.81
54.94	47.13	31.37
72.75	42.75	26.62
64.62	39.31	15.25
80.44	44.38	11.5
66.25	42.94	0.81
83.75	44.75	3.19
71.56	45	11.81
74.37	43.31	2.88
62.81	45.44	-0.37
78.56	47.44	6.44
60.19	48.13	6.44
79.44	46.94	6.69
59.69	43.06	-3
76.87	48.38	-5.13
56.88	50.31	-12.5
80.12	50.38	-16.25
59.69	45.81	-16.62
65	73.31	-52.25
18	80.44	12.38
46.06	82	60.25
17.62	83	36.56
35.81	79.81	82.87
22.81	82.56	98.56
39.19	71.06	96
32.75	81.44	110.37
40.69	81.87	107
38.06	81.81	92.87
41.44	80.06	102.75
47.5	75.31	80.31
41.38	71	99.75
41.63	73.06	87.25
36.31	76.06	96.19
45.13	74.75	122.94
39.19	72.06	102.62
47.44	74.19	95
40.75	77.87	99.81
34.06	81	126.56
23.31	73.44	108.94
32.88	77.19	141.06
16.19	72.75	124.12
26.31	77.75	132.31
19.94	74.37	116.44
30.87	76.25	137.69
22.06	68.19	124.19
35.81	79.5	153.75
31.87	70.37	129.13
38	75.31	158.44
27.62	74.56	121.25
32.44	80	147.56
32.25	76	137.44
35	78.19	175.88
21.62	74.12	126.81
29.44	77.06	136.75
18.19	71.81	112.56
39.19	78.69	139.88
21.37	70.75	123.37
32.06	76.62	143.19
30.31	70.69	128.06
38.19	74.37	143.94
31.87	70.62	134.63
42.56	77	147.13
34.75	72.37	140.88
36.88	76.06	139.81
24.87	71.5	131.31
30.94	75.31	139.81
19.06	72.56	136.06
26.69	75.44	137.38
11.88	69.12	129.06
20.06	76.62	140.94
19.87	70.69	130.63
18.37	74.94	143.44
15.94	72.06	136.38
17.06	67.62	126.12
13.13	71.62	134.88
18.31	72.69	135.38
9.31	67.87	131.94
21.19	70.19	137.31
20.12	69.75	127.62
21	68.31	123.56
13.88	63.38	120.25
27	64.12	129.63
19.56	67.12	136.63
28.44	65.87	125.87
24.06	69.5	136.63
24.37	65.75	127.75
23.19	68.12	135.75
43.25	70.75	143.75
30.5	68.31	136.63
31.06	72.75	147.94
10.5	66.87	119.75
29.87	75.44	125.19
17.69	67.5	107.06
22.19	72.69	106.56
19.56	66.56	104.19
26.94	77.06	108.75
22.37	74.62	115.5
34.19	79.44	137.69
19.25	70.12	112.81
34.38	76.62	108.25
18.5	69.94	126
30.62	71.69	120.87
23.19	70.75	115.94
33.31	72.12	121.37
31.87	75.44	121.12
39	73.75	116.44
31.19	72.44	119
38.88	75.5	119.94
32.94	68.81	116.44
24.87	62.81	128.19
9.69	64.37	120.12
14.06	69.62	120.12
358.69	67.81	110.62
3.75	66.31	113.31
12.75	65.5	123.94
21.44	67.5	125.75
15	64.81	122.62
18.56	65.56	125.19
11.44	67.87	113.62
17.12	70.5	127.44
14.63	68.69	133.13
18.25	73.25	138.19
9.75	67.12	125.56
18.81	69.5	146.19
14.94	65.56	123.87
22.37	74.31	139.63
12.13	66.56	127.5
5.75	68.69	150.75
350.5	63.94	115.62
5.06	69	132.13
1.88	61.19	126.37
2.44	66.56	133.06
12	66.69	127.19
9.81	66.44	135.5
7.75	69	142.25
2.13	66.06	144.63
10.44	71.19	147
0.12	66.37	130.69
13.63	75	142.81
8.88	65.25	127.75
17.06	69.81	142.13
18.06	69.56	135.63
14.31	71.56	145.31
5.06	65.44	135.94
10.81	71.5	157.81
359.31	65.69	135.19
13.56	70.75	163.5
9.56	67.87	138.31
23.5	74.25	156.19
14.38	66.81	131.81
29.31	70.06	167.56
14.81	67.44	134.19
14.75	70.75	163.69
1.19	64.12	126.62
3.94	68.75	154.81
6.13	68.12	122.25
7.81	71.06	131.75
356.19	63.69	113.94
9.38	67.69	152.31
4.63	64.12	127.31
2.56	66.25	147.19
358.13	62.75	134.44
348.56	60.94	135.56
350.5	63.31	138.19
351	65.87	141.13
357.25	64	126.94
358.56	67.06	144.19
355.06	64.31	127.56
356.81	70.12	142.94
337.94	63.13	115.81
344.25	66.5	144.69
344.25	64.69	126.31
349.63	67.31	140.75
338.81	63	117.5
348.69	68.31	139.44
356	63.63	118.75
350.81	69.31	141
352.06	67.87	130.19
346.06	63.81	135.75
343.38	64.69	121.25
342.44	65.87	133
353.19	67.37	141.88
349.44	67.69	136.69
350.5	68.25	155.19
333.94	63.5	125.06
342.25	69.62	145.94
316.63	60.19	113.69
334.44	68.5	144.25
330.81	63.88	128.13
353.44	70.5	139.81
353.19	64.31	125.31
339	69.31	133.19
326.63	61.75	123.81
322.56	65	123.31
333	62.19	133.63
335.94	62.5	130.63
342.94	64	127.5
353.31	69.12	138.69
355.75	63.38	130.63
348.81	66.81	137.44
345.81	60.69	130.31
346.56	65.37	137.63
4.25	67.06	137.88
6	70.19	144.56
358.94	64.62	127.62
2.88	67.19	136.13
2	64	130.44
0.25	65.31	135.19
10.69	68	129.44
9.38	68.31	131.75
13	69.62	132.06
14.56	72.44	149.19
26.19	75.12	155.06
16.81	67.06	138.25
24.62	75	145.69
4.75	65.5	119.44
32.69	71.31	157.38
22.12	68.81	126.25
22.12	74.31	144.25
18.75	68	131.69
18.69	70.31	145.38
22.81	65.06	134.75
17.87	65.69	136.25
21.5	68.87	136
14.44	66.06	142.56
24.19	68	141.19
17.81	67.75	143.13
14.19	65.81	120.25
7.19	66	125.75
23.81	67.37	131.38
24.81	65.81	134.75
32.13	68.81	138
25.37	65.25	126.44
37.38	73.31	144.44
9.81	65.81	120
22.5	75.19	139.44
14.75	66.87	125.12
14.69	69.37	138.38
10.75	62.44	126.62
35.19	69.62	149.5
30	68	130.63
40.19	74.69	152.63
30	68.94	130
42.13	72.37	154
29.44	66.37	125.69
39.94	72	140.63
28.87	68.5	136.56
41.13	73.06	153.19
39.31	71.56	144.56
43.88	70.25	144.38
40.31	70.81	147.13
38.5	68.44	132.69
38.94	67.62	148.81
33.44	66.94	135.94
36.06	71.5	149.56
27.12	67.5	133
23.19	69.81	137.06
27.12	62	137.44
22.25	63.06	145.13
23.44	61.75	136.5
23.06	65.94	145.75
18.37	60.94	138.13
15.5	63.25	141.31
21.19	61.56	139.5
22.87	64.12	144.38
29.75	61.69	141.69
31.31	65.44	150.06
35.94	64	141.31
30.5	66.81	142.19
27.81	62.56	131.88
11.06	64.81	134.94
13.81	60.88	136.81
10.25	61.38	129.5
32.69	65	152.56
52.75	71.44	154.19
54.88	67	-142
95.5	48.81	-102.37
101.5	49.31	-112
110.06	48.56	-112.31
98.25	59.19	-128.63
42.75	67.69	134.44
54.94	68.81	128.19
36.25	55.81	125.31
29.44	55.81	126.25
10.25	56.13	110.62
49.13	83.31	173.38
50.88	64.75	5
23.75	37.75	-14.19
22.31	21.06	-27.75
18.81	10.06	-53
13.31	0.25	-47
359.88	0.19	-40.75
353.13	-0.31	13
356.81	0.12	21.44
348.88	-0.56	23.81
345.19	-0.69	24
342.38	-0.81	23.87
339.81	-0.88	24
338.19	-0.94	24.12
336.88	-0.94	24.12
335.44	-0.94	24.06
334.31	-0.94	24.12
333.38	-1	24.25
332.63	-1	24.31
331.88	-1	24.31
332	-1.06	24.37
332.19	-1	24.44
332.31	-1.06	24.5
332.38	-1.06	24.5
332.38	-1.06	24.44
332.38	-1.06	24.37
332.31	-1.06	24.37
332.31	-1.12	24.37
332.31	-1.12	24.19
332.31	-1.12	24.12
332.31	-1.12	24.06
332.38	-1.12	24.19
332.38	-1.06	24.19
332.38	-1.06	24.12
332.38	-1.06	24.25
332.38	-1.06	24.44
332.38	-1.06	24.37
332.38	-1.06	24.19
332.38	-1.06	24.19
332.31	-1.06	24.25
332.38	-1.06	24.19
332.38	-1.06	24.25
332.38	-1.06	24.25
332.31	-1	24.31
332.31	-1	24.25
332.31	-1	24.31
332.31	-1	24.31
332.31	-1.06	24.19
332.31	-1.06	24.12
332.31	-1.06	24.19
332.31	-1.06	24.25
332.31	-1.06	24.19
332.31	-1.06	24.25
332.31	-1	24.19
332.31	-1	24.31
332.31	-1	24.56
332.31	-1	24.5
332.31	-1	24.62
332.31	-1	24.62
332.31	-1	24.5
332.31	-0.94	24.44
332.31	-0.94	24.37
332.31	-0.94	24.44
332.31	-0.88	24.37
332.31	-0.88	24.31
332.31	-0.88	24.31
330.94	-0.94	24.31
330.44	-0.94	24.44
329.69	-0.94	24.44
329.31	-0.94	24.37
328.81	-0.94	24.19
328.56	-1.06	24.37
328.81	-1.06	24.31
328.94	-1	24.12
329.06	-1.12	24.19
329.31	-1.12	24.19
329.25	-1.06	24
329.19	-1.19	24.31
328.69	-1.19	24.25
328.38	-1.19	24.19
328.38	-1.19	24.12
328.38	-1.19	24.06
328.38	-1.19	24.06
328.38	-1.19	24.06
328.38	-1.19	24.12
328.38	-1.19	24.12
328.38	-1.19	24.19
328.38	-1.19	24.25
328.38	-1.19	24.19
328.38	-1.12	24.25
328.38	-1.12	24.12
328.38	-1.12	24.19
328.31	-1.19	24
328.31	-1.19	24.12
328.31	-1.19	24.12
328.31	-1.19	24.12
328.31	-1.25	24.12
328.31	-1.25	24.25
328.31	-1.25	24.12
328.31	-1.19	24.12
328.31	-1.25	24.19
328.31	-1.19	24.12
328.31	-1.12	24
328.31	-1.19	24.06
328.31	-1.19	24.12
328.31	-1.19	24.19
328.31	-1.19	24.12
328.31	-1.19	24.19
328.31	-1.19	24.25
328.31	-1.19	24.25
328.31	-1.19	24.31
328.31	-1.19	24.31
328.31	-1.19	24.31
328.31	-1.19	24.25
328.31	-1.12	24.19
328.31	-1.12	24.12
328.31	-1.12	24.25
328.31	-1.06	24.25
328.31	-1.06	24.12
328.31	-1.06	24.06
328.31	-1.06	24.06
328.31	-1.06	24.06
328.31	-1.06	24.12
328.31	-1.06	24.12
328.31	-1.12	24.06
328.31	-1.12	24.12
328.25	-1.06	24.19
328.25	-1.06	24.19
328.25	-1.06	24.19
328.25	-1.06	24.25
328.25	-1.06	24.19
328.31	-1.06	24.31
328.25	-1.06	24.25
328.25	-1.06	24.19
328.25	-1.06	24.19
328.25	-1.06	24.25
328.25	-1.06	24.31
328.25	-1.06	24.37
328.25	-1.06	24.44
328.25	-1.06	24.44
328.25	-1.06	24.44
328.25	-1.06	24.37
328.25	-1.06	24.31
328.25	-1.06	24.25
328.25	-1.06	24.25
328.25	-1.12	24.25
328.25	-1.12	24.25
328.19	-1.06	24.19
328.19	-1.06	24.12
328.25	-1.06	24.12
328.19	-1.12	24.19
328.25	-1.06	24.31
328.25	-1.12	24.44
328.25	-1.06	24.37
328.25	-1.12	24.56
328.25	-1.06	24.56
328.25	-1.06	24.56
328.25	-1.06	24.5
328.25	-1.06	24.56
328.25	-1.06	25.06
328.25	-1.06	24.44
328.25	-1.06	23.62
328.25	-1.06	23.44
328.25	-1.06	23.87
328.25	-1.06	24.19
328.31	-1.25	25
328.31	-1.19	24.94
328.31	-1.19	25
328.31	-1.19	25
328.31	-1.19	25
328.31	-1.19	25.06
328.31	-1.19	25.06
328.31	-1.19	24.94
328.31	-1.19	25.06
328.31	-1.19	25.19
328.31	-1.19	25.12
323.25	-1.25	27.56
313.25	-0.5	29.31
302.06	2.88	64.5
298.44	2.56	65.5
297.31	-0.88	66.69
298.38	-1.19	66.81
298.44	-1.37	66.5
304.06	5.19	72.56
319	-2.38	67
324.69	-0.5	55.69
326.63	-0.44	56.19
327.88	-0.44	56.13
328.81	-0.37	56.19
329.5	-0.37	56.19
329.94	-0.37	56.19
330.25	-0.37	56.25
330.69	-0.37	56.31
330.81	-0.37	56.31
331.38	-0.37	56.31
331.06	-0.37	56.31
331.19	-0.31	56.25
331.13	-0.31	56.31
331.13	-0.31	56.31
331.19	-0.31	56.38
331.13	-0.31	56.44
331.13	-0.37	56.38
331.13	-0.37	56.31
331.13	-0.37	56.31
331.06	-0.37	56.25
331.13	-0.37	55.94
331.06	-0.37	56.06
331.13	-0.37	56.06
331.13	-0.37	56.13
331.13	-0.37	56.13
331.13	-0.37	56.19
331.13	-0.37	56.25
331.13	-0.37	56.25
331.13	-0.31	56.31
331.13	-0.31	56.25
331.13	-0.37	56.25
331.13	-0.37	56.19
331.13	-0.31	56.38
331.13	-0.31	56.31
331.13	-0.31	56.25
331.13	-0.31	56.44
331.13	-0.31	56.25
331.13	-0.31	56.31
331.13	-0.31	56.19
331.13	-0.31	56.5
331.19	-0.31	56.38
331.19	-0.25	56.44
331.19	-0.31	56.25
331.13	-0.37	56.38
331.13	-0.37	56.25
331.13	-0.37	56.19
331.13	-0.37	56.31
331.13	-0.37	56.38
331.13	-0.44	56.38
331.13	-0.44	56.44
331.06	-0.44	56.56
331.06	-0.44	56.31
331.06	-0.44	56.44
331.06	-0.44	56.44
331.06	-0.37	56.5
331.06	-0.37	56.31
331.06	-0.37	56.31
331.06	-0.37	56.31
331.06	-0.37	56.38
331.06	-0.37	56.31
331.06	-0.37	56.31
331.06	-0.37	56.31
331.06	-0.37	56.31
331.13	-0.25	56.19
331	-0.37	57.25
331	-0.37	56.56
331	-0.37	56.5
331	-0.37	56.44
331	-0.37	56.44
331	-0.37	56.38
331	-0.37	56.38
331	-0.37	56.38
331	-0.37	56.44
331	-0.37	56.31
331	-0.37	56.5
331	-0.37	56.44
331	-0.37	56.44
331	-0.37	56.5
331	-0.37	56.5
331	-0.37	56.56
330.94	-0.37	56.56
330.94	-0.44	56.44
330.94	-0.44	56.44
330.94	-0.44	56.44
330.94	-0.44	56.56
330.94	-0.44	56.5
330.94	-0.44	56.56
330.94	-0.44	56.5
330.94	-0.44	56.44
330.94	-0.44	56.25
330.94	-0.44	56.38
330.94	-0.44	56.38
330.94	-0.44	56.38
330.94	-0.5	56.19
330.94	-0.44	56.31
331	-0.44	56.19
331	-0.44	56.44
330.94	-0.44	56.44
331	-0.37	56.31
331	-0.37	56.38
331	-0.37	56.31
331	-0.37	56.31
331	-0.37	56.31
331	-0.37	56.38
331	-0.44	56.25
330.94	-0.44	56.25
330.94	-0.44	56.31
330.94	-0.44	56.44
330.94	-0.44	56.44
330.94	-0.44	56.44
330.94	-0.44	56.44
331	-0.44	56.44
331	-0.44	56.5
331	-0.44	56.5
331	-0.44	56.5
331.06	-0.44	56.56
331.06	-0.44	56.5
331.06	-0.44	56.56
331.06	-0.44	56.63
331.06	-0.44	56.63
331.06	-0.44	56.56
331.06	-0.44	56.56
331.06	-0.44	56.63
331.13	-0.37	56.63
331.06	-0.44	56.56
331.13	-0.44	56.75
331.06	-0.44	56.75
331.06	-0.44	56.63
331.06	-0.5	56.5
331.06	-0.44	56.56
331.06	-0.44	56.56
331.06	-0.44	56.63
331.06	-0.44	56.63
331.06	-0.44	56.75
331.06	-0.44	56.75
331.06	-0.44	56.75
331.06	-0.44	56.81
331.06	-0.44	56.88
331.06	-0.44	56.88
331.13	-0.44	56.75
331.13	-0.44	56.69
331.13	-0.44	56.69
331.13	-0.44	56.56
331.13	-0.44	56.63
331.13	-0.44	56.69
331.13	-0.44	56.69
331.13	-0.44	56.75
331.13	-0.44	56.75
331.13	-0.44	56.88
331.13	-0.44	56.88
331.13	-0.44	56.88
331.13	-0.44	56.75
331.13	-0.44	56.69
331.13	-0.44	56.69
331.13	-0.44	56.69
331.13	-0.44	56.75
331.13	-0.44	56.81
331.13	-0.44	56.81
331.13	-0.44	56.88
331.13	-0.44	56.94
331.13	-0.44	56.94
331.13	-0.44	56.88
331.13	-0.44	56.81
331.13	-0.44	56.81
331.13	-0.44	56.88
331.13	-0.44	56.81
331.13	-0.44	56.94
331.13	-0.44	56.81
331.13	-0.44	56.75
331.13	-0.44	56.75
331.13	-0.44	56.75
331.13	-0.44	56.75
331.13	-0.44	56.75
331.13	-0.44	56.88
331.13	-0.44	56.81
331.13	-0.44	56.81
331.13	-0.44	56.81
331.13	-0.44	56.88
331.13	-0.44	56.75
331.06	-0.44	56.75
331.13	-0.44	56.81
331.06	-0.5	56.75
331.06	-0.5	56.81
331.06	-0.5	56.88
331.13	-0.44	56.88
331.13	-0.44	56.88
331.13	-0.44	57
331.06	-0.5	57
331.06	-0.5	56.94
331.06	-0.5	56.75
331.06	-0.5	56.81
331.06	-0.5	56.81
331.06	-0.5	57
331.06	-0.5	57
331.06	-0.5	57
331.06	-0.5	57
331.06	-0.5	56.88
331.06	-0.5	57
331.06	-0.5	57.06
331.06	-0.5	57
331.06	-0.5	57.25
331.06	-0.44	57.31
331.06	-0.5	57.31
331.06	-0.5	57.19
331.06	-0.5	57.19
331.06	-0.5	57.19
331.06	-0.5	57.25
331.06	-0.5	57.63
331.06	-0.44	57.5
331.06	-0.44	57.63
331.06	-0.44	57.69
330.94	-0.44	58.13
330.81	-0.37	58.06
330.75	-0.37	57.88
330.75	-0.44	57.94
330.75	-0.44	58.06
330.56	-0.44	58.94
329.56	-0.44	60.31
329.56	-0.44	60.19
329.56	-0.44	59.88
329.56	-0.44	59.19
329.5	-0.44	58.88
329.5	-0.44	59.25
329.5	-0.44	59
329.5	-0.44	58.94
329.5	-0.44	59
329.5	-0.44	59.06
329.5	-0.44	59.06
329.38	-0.44	59.75
329.38	-0.44	59.25
329.38	-0.44	59.06
329.38	-0.44	59.13
329.38	-0.44	59.13
329.38	-0.44	59.13
330.75	-0.44	61.5
332.38	-0.25	53.63
327.63	-0.12	56.81
329.81	-0.12	75.5
330.06	-0.12	74.87
330.31	-0.31	74.06
331.31	-0.31	72.06
334.63	-0.31	73.75
335	-0.37	78.19
334.75	-0.31	72.5
332.44	-0.31	69.62
329.69	-0.25	62.56
327.88	-0.25	63.63
326.69	-0.19	60.94
325.69	-0.25	60.63
325.31	-0.25	60.69
324.81	-0.25	60.69
324.13	-0.25	60.75
322.63	-0.19	33.56
323	0.37	-2.63
328.38	0.44	0.25
332.06	0.56	-12.13
334.69	0.63	-4.06
335.31	0.56	-3.31
336.06	0.5	-0.5
336.94	0.5	-1.31
336.81	0.5	1.63
335.06	0.56	0.5
333.38	0.5	0.5
332.31	0.5	1.12
332.81	0.5	1.19
333.56	0.5	1.31
334.31	0.56	0.94
334.5	0.56	1.06
335.25	0.56	3.06
336	0.63	3.06
336	0.56	3.94
336	0.56	4.63
336	0.44	6
336	0.44	4.88
336	0.44	5.31
336	0.44	7.13
336	0.44	7.25
335.13	0.5	7.5
327.94	0.44	7.38
321.25	0.63	4.94
316.5	0.44	7.69
313.69	0.5	8.88
312.19	0.31	10.44
311.25	0.25	13.88
310.81	0.31	13.69
310.63	0.25	13.31
310.63	0.12	14.13
310.69	0.5	10.06
310.69	0.37	12.13
311	0.56	9.63
311.13	0.69	3.38
311.19	0.69	1.06
308.44	2.63	-75.75
312.81	2.31	-76.62
311.94	1.75	-118.56
311.69	2.44	-98.12
311.63	2.5	-98.31
311.81	2.44	-96.31
311.69	2.44	-100.06
308.38	2.38	-104.75
307.94	2.31	-101.69
307.31	2.25	-97.06
307.44	2.25	-91.75
305.81	2.19	-86.12
310.31	2.31	-87.94
131.13	2.06	-137.56
131.13	1.75	-145
131.31	1.19	-155.56
134.25	0.63	-178.38
129.19	0.81	176.38
128.38	0.88	178.88
128.75	0.88	-178.25
128.81	1	-173.25
126.87	0.81	178.5
126.62	0.69	175.5
126.81	1.19	-170.88
130.81	1.06	-171
131.5	0.88	-176.5
132.13	1.06	-173.69
133.75	1.19	-171.56
133.81	1.63	-163.5
133.63	1.81	-158.69
133.56	1.69	-159.25
133.44	1.69	-156.88
133.44	1.75	-155.63
133.19	1.75	-155.06
133.25	1.81	-155.31
133.19	1.81	-154.69
133.19	1.81	-154.63
133.13	1.81	-154.69
133.13	1.75	-154.44
133.13	1.75	-154.44
133.13	1.75	-154.19
133.13	1.75	-154.06
133.13	1.81	-153.88
133.13	1.88	-154.19
133.13	1.88	-154.06
133.19	1.94	-154.13
133.19	2	-154.19
133.13	2	-154.06
133.13	1.88	-154.13
133.13	1.81	-154.5
133.13	1.81	-154.44
133.13	1.88	-154.19
133.13	1.88	-154.31
133.13	1.94	-154.38
133.19	2	-154.31
133.19	2	-154.13
133.19	2	-154.06
133.19	2.06	-154
133.19	2	-153.81
133.5	1.19	-170.31
318.81	-0.37	129
325.69	-0.88	92.5
320.5	0.25	22.62
323.31	0.56	8.94
323.31	0.5	9.75
323.31	0.56	9.88
323.31	0.5	8.25
323.31	0.63	8.63
323.44	0.56	7.5
323.44	0.56	7
324.81	0.69	-0.75
324.88	0.75	1.19
324.88	0.88	4.81
324.88	0.88	4.81
324.88	0.88	5.44
324.88	0.81	6.06
324.88	0.81	6.06
324.88	0.88	6.31
324.88	0.88	6.69
324.88	0.88	6.69
324.88	0.81	6.25
324.88	0.88	6.56
324.88	0.88	6.75
324.81	0.81	6.81
324.81	0.81	7.19
324.81	0.81	8
324.81	0.81	7.94
324.81	0.75	8.06
324.81	0.75	8.81
324.81	0.75	8.94
324.81	0.75	9
324.81	0.75	9
324.81	0.81	7.44
324.81	0.81	8.31
324.81	0.75	8.44
324.81	0.75	7.38
324.81	0.75	8.69
324.81	0.81	7.31
324.81	0.75	10.31
324.81	0.69	14.31
324.75	0.94	8.06
324.75	0.69	9
325.81	0.37	-26.69
322.81	1.31	-52.44
322.81	1.37	-52.38
322.88	1.31	-53.63
322.88	1.31	-53.56
322.75	1.37	-52.44
322.75	1.31	-49.5
322.81	1.25	-52.13
326.25	1.12	-65.81
334.19	1.44	-122.87
339.13	1.31	-122.12
335.88	1.75	-110.75
334.56	1.94	-105.12
334.5	2	-105.44
334.5	2	-105.37
334.56	1.94	-105.25
334.56	1.94	-104.94
334.56	2	-104.37
334.56	2	-104.19
334.56	2	-103.75
334.56	2.06	-102.69
334.44	2.13	-103.19
334.5	2.13	-102.44
334.44	2.13	-102.87
334.44	2.13	-101.69
334.5	2.19	-101
334.5	2.19	-101.12
334.5	2.13	-101.12
334.38	2.19	-101.06
334.38	2.19	-101.19
334.5	2.13	-99.87
334.44	2.13	-100.06
334.5	2.13	-98.62
334.44	2.13	-102.12
334.69	2	-103.44
334.63	1.94	-103.69
334.56	1.94	-105.81
334.63	1.94	-106.25
334.31	2	-109.69
334.31	1.94	-111.19
334.38	1.94	-109.75
334.31	1.94	-110.94
334.19	1.88	-115.31
334.25	1.94	-114.62
334.25	2	-112.31
334.19	2.06	-112.19
334.13	2.06	-113.87
334.44	1.88	-113.5
334.13	2	-113
334.13	2.06	-112.75
334.19	2.06	-111.69
334.31	2.13	-109.19
334.31	2.13	-107.81
334.25	2.13	-108.5
334.25	2.13	-109.37
334.31	2.13	-108.19
334.31	2.13	-108.37
334.31	2.13	-108.19
334.19	2.25	-108.19
334.19	2.31	-108.06
334.19	2.25	-107.37
334.19	2.31	-107.5
334.25	2.25	-107.12
334.19	2.31	-107
334.31	2.25	-106.69
334.38	2.19	-105.69
334.38	2.19	-105.94
334.38	2.25	-105.69
334.38	2.13	-106.62
334.25	2.31	-104.19
334.19	2.5	-101.44
334.06	2.5	-101.19
334.13	2.5	-100.56
334.13	2.44	-101.75
334	2.56	-100.87
334	2.63	-100.69
334.56	2.19	-100.25
334.31	2.38	-103.37
334.44	2.31	-101.31
334.31	2.5	-100.19
334.38	2.5	-99.06
334.38	2.5	-100.06
334.63	2.25	-100.56
334.69	2.13	-100.37
334.63	2.19	-100.62
334.56	2.31	-100.25
334.5	2.31	-100.12
334.5	2.38	-100.19
334.69	2.19	-100.62
334.56	2.31	-100.5
334.44	2.38	-100.31
334.63	2.25	-100.44
334.63	2.25	-100.31
334.63	2.25	-100.44
334.63	2.25	-100.37
342.44	2.19	-60.5
342.38	2.19	-63
342.19	2.19	-72.25
342.19	2.25	-72.25
342.13	2.25	-74.62
342	2.31	-74.31
341.94	2.13	-85.5
341.81	2.19	-92.19
341.69	2.19	-93.44
344.63	2.06	-51
342.63	2.13	-56.69
342.69	2.13	-53.13
342.69	2.13	-53.06
342.69	2.13	-52.81
342.75	2.06	-52.94
342.69	2.13	-52.94
342.75	2.06	-52.69
342.75	2.06	-52.69
342.75	2.06	-52.38
342.75	2.06	-52.38
342.81	2.06	-51.63
342.69	2.13	-51.56
342.69	2.13	-51.44
342.69	2.13	-51.56
342.69	2.06	-51.44
342.75	2.06	-51.88
342.75	2.13	-52
342.75	2.13	-51.75
342.31	2.13	-51.88
342.31	2.06	-50.5
342.25	2.13	-51.31
342.31	2.13	-51.63
342.31	2.06	-51
342.31	2.13	-51.19
342.31	2.13	-51.44
342.31	2.19	-51.31
342.31	2.19	-51.38
342.25	2.19	-51.5
342.38	2.06	-51.38
342.38	2.06	-51.38
342.38	2.06	-51.31
342.44	2.06	-51.38
342.38	2.06	-51.38
342.38	2.06	-51.5
342.38	2.13	-51.38
342.38	2.19	-51.25
342.38	2.19	-51.44
342.38	2.19	-51.5
342.44	2.19	-51.31
342.44	2.19	-51.31
342.44	2.25	-51.31
342.5	2.19	-51.31
342.56	2.13	-51.13
342.56	2.13	-51.06
342.5	2.31	-51.19
342.56	2.25	-51.06
342.56	2.13	-51
342.56	2.13	-51.31
342.56	2.13	-51.38
342.56	2.13	-51.31
342.56	2.13	-51.44
342.56	2.13	-51.38
342.56	2.19	-51.56
342.56	2.25	-51.38
342.63	2.19	-51.13
342.56	2.25	-51.06
342.69	2.06	-51.31
342.69	2.06	-51.44
342.69	2.06	-51.19
342.69	2	-51.19
342.31	2	-50.44
340.44	2	-50.25
339.06	1.94	-50.13
338.13	1.94	-50.31
337.94	1.94	-50.56
337.94	1.94	-50.56
336.75	1.94	-48.56
331.38	2.13	-36.38
331.19	2.06	-36.63
331.13	2.06	-36.75
331.13	2.06	-37
331.06	2.13	-36.88
331.06	2.19	-37.13
331.06	2.25	-36.88
331	2.06	-37.56
331	2.19	-37.13
331	2	-38
331.06	2.06	-37.56
331.06	2.13	-37.75
331.06	2.25	-37.5
331.13	2.25	-37.25
331.06	2.31	-37.13
331.13	2.25	-37.13
331.13	2.31	-36.94
331.13	2.31	-36.94
331.13	2.31	-36.94
330.88	2	-38.94
330.81	2.06	-38.56
330.88	2.19	-38.25
330.88	2.25	-38.38
330.75	2.44	-38
330.56	2.19	-38.56
330.56	2.13	-38.19
330.56	2.19	-38.38
330.63	2.19	-38.25
330.56	2.25	-38.06
330.56	2.31	-37.81
330.63	2.31	-37.56
330.69	2.19	-37.69
330.69	2.06	-37.94
330.81	2.19	-37.44
330.75	2.06	-37.75
330.38	2.25	-36.5
329.75	2.25	-37.06
329.69	2.44	-36.81
329.69	2.44	-37.13
329.69	2.38	-37.19
329.75	2.38	-37.38
329.75	2.31	-37.63
329.75	2.38	-37.69
329.63	2.56	-37.06
329.63	2.5	-37.44
329.63	2.56	-37.44
329.63	2.63	-37.38
329.63	2.56	-37.63
329.69	2.25	-37.75
329.75	2.19	-37.75
329.81	2.19	-37.69
329.31	2.19	-37.19
327.69	2.13	-37.06
327.69	2.19	-37.13
327.75	2.13	-37
326.63	2.19	-36.56
326.56	2.19	-36.88
325.88	2.19	-36.38
325.63	2.19	-36.5
325.44	2.25	-36.88
325.5	2.25	-36.75
325.5	2.38	-36.75
325.44	2.44	-36.75
325.5	2.25	-36.75
325.5	2.19	-37
325.5	2.19	-36.94
325.5	2.19	-36.94
325.25	2.25	-36.19
324.81	2.31	-35.56
324.56	2.25	-35.56
324.19	2.25	-36.13
324.19	2.25	-35.88
324.13	2.25	-36.25
323.38	2.25	-35.56
323.44	2.19	-35.94
323.5	2.19	-35.88
323.5	2.19	-35.56
323.5	2.19	-36
323.19	2.25	-33.63
322.38	2.25	-34.94
322.25	2.19	-33.44
322.06	2.06	-34.5
